PERFILES QUE SE REQUIEREN PARA LOS DIFERENTES PROGRAMAS DE LA FACULTAD DE INGENIERIAS E INFORMATICA – MODALIDAD PRESENCIAL PARA REPOSITORIO DE HOJAS DE VIDA - VIGENCIA 2026
PROFESORES OCASIONALES Y CATEDRA PROGRAMAS FII MODALIDAD PRESENCIAL EN PAMPLONA | PROFESORES OCASIONALES Y CATEDRA PROGRAMAS FII MODALIDAD PRESENCIAL EN PAMPLONA | PROFESORES OCASIONALES Y CATEDRA PROGRAMAS FII MODALIDAD PRESENCIAL EN PAMPLONA | PROFESORES OCASIONALES Y CATEDRA PROGRAMAS FII MODALIDAD PRESENCIAL EN PAMPLONA | PROFESORES OCASIONALES Y CATEDRA PROGRAMAS FII MODALIDAD PRESENCIAL EN PAMPLONA
FII-24 | CÁTEDRA | TECNOLOGIA EN PRODUCCION AGROPECUARIA | MICROBIOLOGO | ORIENTAR LOS CURSOS DE MICROBIOLOGIA - INOCUIDAD EN LOS PROCESOS AGROINDUSTRIALES
FII-25 | CÁTEDRA | TODOS LOS PROGRAMAS | LICENCIADO EN LENGUA CASTELLANA O COMUNICADOR SOCIAL O AREAS AFINES | ORIENTAR LOS CURSOS DE HABILIDADES COMUNICATIVAS - PRODUCCION Y COMPRENSION DE TEXTOS – COMPETENCIAS COMUNICATIVAS
FII-26 | CÁTEDRA | TODOS LOS PROGRAMAS | CONTADOR PUBLICO Y/O ADMINISTRADOR DE EMPRESAS Y/O ECONOMISTA O AREAS AFINES | ORIENTAR LOS CURSOS DE CONTABILIDAD - COSTOS Y PRESUPUESTO - CONTABILIDAD FINANCIERA - FUNDAMENTOS DE ADMINISTRACIÓN - ECOSISTEMA ECONÓMICO AGROINDUSTRIAL – ADMINISTRACIÓN GENERAL
FII-27 | CÁTEDRA | TODOS LOS PROGRAMAS | LICENCIADO EN IDIOMAS O LENGUAS EXTRANJERAS O LENGUAS MODERNAS O AREAS AFINES | ORIENTAR LOS CURSOS DE INGLES I – INGLES II – INGLES III - INGLES TECNICO I, II y III.
FII-28 | CÁTEDRA | TODOS LOS PROGRAMAS | PROFESIONAL EN   | CIENCIAS SOCIALES Y   | HUMANAS - TRABAJADOR SOCIAL -  | LICENCIADO EN DESARROLLO   | COMUNITARIO O AREAS AFINES | ORIENTAR LOS CURSOS DE SOCIEDAD Y RURALIDAD - CIUDADANIA Y CONVIVENCIA - ELECTIVAS DE SOCIOHUMANISTICA
FII-29 | CÁTEDRA | TODOS LOS PROGRAMAS | INGENIERO AMBIENTAL O AREAS AFINES | ORIENTAR LOS CURSOS DE AMBIENTAL - GESTION AMBIENTAL – SANEAMIENTO Y LEGISLACION AMBIENTAL
FII-30 | CÁTEDRA | TODOS LOS PROGRAMAS | PSICOLOGO – SOCIOLOGO O AREAS AFINES | ORIENTAR LOS CURSOS DE HABILIDADES INTRA E INTERPERSONALES
FII-31 | CÁTEDRA | TODOS LOS PROGRAMAS | ADMINISTRADOR DE EMPRESAS O AREAS AFINES | ORIENTAR LOS CURSOS DE FUNDAMENTOS DE ADMINISTRACION - TECNICAS Y ESTRATEGIAS DE INVESTIGACION – METODOLOGIA DE LA INVESTIGACION – TECNICA TECNOLOGIA Y CIENCIA
FII-32 | CÁTEDRA | TODOS LOS PROGRAMAS | ABOGADO | ORIENTAR LOS CURSOS DE LEGISLACION LABORAL.
FII-33 | CÁTEDRA | TODOS LOS PROGRAMAS | INGENIERO ELECTRÓNICO / INGENIERO MECATRÓNICO O AREAS AFINES | ORIENTAR LOS CURSOS DE ELECTRICIDAD Y ELECTRÓNICA APLICADA, COMPUTACIÓN FISICA, HERRAMIENTAS TECNOLOGICAS Y PROGRAMACION APLICADA – TECNICA TECNOLOGIA Y CIENCIA
FII-34 | CÁTEDRA | TODOS LOS PROGRAMAS | INGENIERO DE SISTEMAS | ORIENTAR LOS CURSOS DE INFORMATICA, SERVIDORES, PROGRAMACION ORIENTADA A OBJETOS, DISEÑOS PARA LA WEB – SISTEMAS OPERATIVOS - SISTEMAS DE INFORMACIÓN DE SST
FII-35 | CÁTEDRA | TECNOLOGIA EN PRODUCCIÓN AGROPECUARIA | AGRONOMO – INGENIERO AGRONOMO O AREAS AFINES | ORIENTAR LOS CURSOS DE SANIDAD VEGETAL - ANATOMIA Y FISIOLOGIA VEGETAL - EXTENSIÓN RURAL Y POLITICA AGROPECUARIA
FII-36 | CÁTEDRA | TODOS LOS PROGRAMAS | MEDICO VETERINARIO O MEDICO VETERINARIO Y ZOTECNISTA (MVZ) | ORIENTAR LOS CURSOS DE SANIDAD ANIMAL- FISIOLOGIA DE LA REPRODUCCIÓN – INSEMINACIÓN ARTIFICIAL- TRANSFERENCIA DE EMBRIONES
FII-37 | CÁTEDRA | TODOS LOS PROGRAMAS | ZOOTECNISTA O MEDICO VETERINARIO Y ZOTECNISTA (MVZ) | ORIENTAR LOS CURSOS DE CONSERVACION DE FORRAJES – NUTRICION - PASTOS Y FORRAJES – PRODUCIÓN - PROCESAMIENTO DE PRODUCTOS PARA ALIMENTACION ANIMAL
FII-38 | CÁTEDRA | TODOS LOS PROGRAMAS | INGENIERO CIVIL | ORIENTAR LOS CURSOS DE ACUEDUCTOS Y ALCANTARILLADOS - INSTALACIONES HIDROSANITARIAS PARA EDIFICACIONES - LABORATORIO DE PAVIMENTOS, TOPOGRAFIA - ALTIMETRIA, TOPOGRAFIA - PLANIMETRIA, MECANICA DE FLUIDOS E HIDRAULICA - GEOLOGIA APLICADA - DISEÑO DE MEZCLAS - MECANICA DE MATERIALES - MECÁNICA DE SUELOS - RESIDENCIA Y SUPERVISIÓN TECNICA DE OBRAS –CONSTRUCIONES SISMORRESISTENTES - TRABAJOS DE GRADO.
FII-39 | CÁTEDRA | TODOS LOS PROGRAMAS | PROFESIONAL EN SEGURIDAD Y SALUD EN EL TRABAJO O PROFESIONAL EN TODAS LAS ÁREAS CON POSGRADO EN SEGURIDAD Y SALUD EN EL TRABAJO CON LICENCIA EN SEGURIDAD Y SALUD EN EL TRABAJO VIGENTE O CERTIFICADO DE COORDINADOR DE TRABAJO EN ALTURAS VIGENTE O CURSOS EN EMERGENCIAS Y DESASTRES | ORIENTAR LOS CURSOS DE SEGURIDAD Y SALUD EN EL TRABAJO - SALUD PÚBLICA - SEGURIDAD INDUSTRIAL - HIGIENE INDUSTRIAL - OPTATIVA. SEGURIDAD VIAL - OPTATIVA. BIOSEGURIDAD - TRABAJO SEGURO EN ALTURAS - FUNDAMENTOS EN EMERGENCIAS Y DESASTRES – GESTION DE LA SEGURIDAD Y SALUD EN EL TRABAJO
FII-40 | CÁTEDRA | TODOS LOS PROGRAMAS | INGENIERO DE ALIMENTOS O INGENIERO AGROINDUSTRIAL O DE PRODUCCION AGROINDUSTRIAL O AREAS AFINES | ORIENTAR LOS CURSOS DE OPTATIVA I DE PROFUNDIZACIÓN AGROINDUSTRIA ALIMENTARIA (PRODUCTOS DE ORIGEN PECUARIO) - OPTATIVA II AGROINDUSTRIA ALIMENTARIA (PRODUCTOS DE ORIGEN AGRÍCOLA). – CALIDAD E INOCUIDAD EN LA INDUSTRIA AGROALIMENTARIA
FII-41 | CÁTEDRA | TODOS LOS PROGRAMAS | INGENIERO INDUSTRIAL O AREAS AFINES | ORIENTAR LOS CURSOS DE PLANEACIÓN Y CONTROL DE LA PRODUCCIÓN - RESPONSABILIDAD SOCIAL -PRODUCTIVIDAD Y COMPETITIVIDAD -LOGÍSTICA Y DISTRIBUCIÓN. GESTION INDUSTRIAL – PROCESOS INDUSTRIALES – SIMULACIÓN DE PROCESOS - AGROINDUSTRIA NO ALIMENTARIA I Y II
